bank_tx,ledger_tx,match,scenario
B_easy_0000,TXN_easy_0000,True,exact
B_easy_0001,TXN_easy_0001,True,exact
B_easy_0002,TXN_easy_0002,True,exact
B_easy_0003,TXN_easy_0003,True,exact
B_easy_0004,TXN_easy_0004,True,exact
B_easy_0005,TXN_easy_0005,True,exact
B_easy_0006,TXN_easy_0006,True,exact
B_easy_0007,TXN_easy_0007,True,exact
B_easy_0008,TXN_easy_0008,True,exact
B_easy_0009,TXN_easy_0009,True,exact
B_easy_0010,TXN_easy_0010,True,exact
B_easy_0011,TXN_easy_0011,True,exact
B_easy_0012,TXN_easy_0012,True,exact
B_easy_0013,TXN_easy_0013,True,exact
B_easy_0014,TXN_easy_0014,True,exact
B_easy_0015,TXN_easy_0015,True,exact
B_easy_0016,TXN_easy_0016,True,exact
B_easy_0017,TXN_easy_0017,True,exact
B_easy_0018,TXN_easy_0018,True,exact
B_easy_0019,TXN_easy_0019,True,exact
B_easy_0020,TXN_easy_0020,True,exact
B_easy_0021,TXN_easy_0021,True,exact
B_easy_0022,TXN_easy_0022,True,exact
B_easy_0023,TXN_easy_0023,True,exact
B_easy_0024,TXN_easy_0024,True,exact
B_easy_0025,TXN_easy_0025,True,exact
B_easy_0026,TXN_easy_0026,True,exact
B_easy_0027,TXN_easy_0027,True,exact
B_easy_0028,TXN_easy_0028,True,exact
B_easy_0029,TXN_easy_0029,True,exact
B_easy_0030,TXN_easy_0030,True,exact
B_easy_0031,TXN_easy_0031,True,exact
B_easy_0032,TXN_easy_0032,True,exact
B_easy_0033,TXN_easy_0033,True,exact
B_easy_0034,TXN_easy_0034,True,exact
B_easy_0035,TXN_easy_0035,True,exact
B_easy_0036,TXN_easy_0036,True,exact
B_easy_0037,TXN_easy_0037,True,exact
B_easy_0038,TXN_easy_0038,True,exact
B_easy_0039,TXN_easy_0039,True,exact
B_easy_0040,TXN_easy_0040,True,exact
B_easy_0041,TXN_easy_0041,True,exact
B_easy_0042,TXN_easy_0042,True,exact
B_easy_0043,TXN_easy_0043,True,exact
B_easy_0044,TXN_easy_0044,True,exact
B_easy_0045,TXN_easy_0045,True,exact
B_easy_0046,TXN_easy_0046,True,exact
B_easy_0047,TXN_easy_0047,True,exact
B_easy_0048,TXN_easy_0048,True,exact
B_easy_0049,TXN_easy_0049,True,exact
B_easy_0050,TXN_easy_0050,True,exact
B_easy_0051,TXN_easy_0051,True,exact
B_easy_0052,TXN_easy_0052,True,exact
B_easy_0053,TXN_easy_0053,True,exact
B_easy_0054,TXN_easy_0054,True,exact
B_easy_0055,TXN_easy_0055,True,exact
B_easy_0056,TXN_easy_0056,True,exact
B_easy_0057,TXN_easy_0057,True,exact
B_easy_0058,TXN_easy_0058,True,exact
B_easy_0059,TXN_easy_0059,True,exact
B_easy_0060,TXN_easy_0060,True,exact
B_easy_0061,TXN_easy_0061,True,exact
B_easy_0062,TXN_easy_0062,True,exact
B_easy_0063,TXN_easy_0063,True,exact
B_easy_0064,TXN_easy_0064,True,exact
B_easy_0065,TXN_easy_0065,True,exact
B_easy_0066,TXN_easy_0066,True,exact
B_easy_0067,TXN_easy_0067,True,exact
B_easy_0068,TXN_easy_0068,True,exact
B_easy_0069,TXN_easy_0069,True,exact
B_easy_0070,TXN_easy_0070,True,exact
B_easy_0071,TXN_easy_0071,True,exact
B_easy_0072,TXN_easy_0072,True,exact
B_easy_0073,TXN_easy_0073,True,exact
B_easy_0074,TXN_easy_0074,True,exact
B_easy_0075,TXN_easy_0075,True,exact
B_easy_0076,TXN_easy_0076,True,exact
B_easy_0077,TXN_easy_0077,True,exact
B_easy_0078,TXN_easy_0078,True,exact
B_easy_0079,TXN_easy_0079,True,exact
B_easy_0080,TXN_easy_0080,True,exact
B_easy_0081,TXN_easy_0081,True,exact
B_easy_0082,TXN_easy_0082,True,exact
B_easy_0083,TXN_easy_0083,True,exact
B_easy_0084,TXN_easy_0084,True,exact
B_easy_0085,TXN_easy_0085,True,exact
B_easy_0086,TXN_easy_0086,True,exact
B_easy_0087,TXN_easy_0087,True,exact
B_easy_0088,TXN_easy_0088,True,exact
B_easy_0089,TXN_easy_0089,True,exact
B_easy_0090,TXN_easy_0090,True,exact
B_easy_0091,TXN_easy_0091,True,exact
B_easy_0092,TXN_easy_0092,True,exact
B_easy_0093,TXN_easy_0093,True,exact
B_easy_0094,TXN_easy_0094,True,exact
B_easy_0095,TXN_easy_0095,True,exact
B_easy_0096,TXN_easy_0096,True,exact
B_easy_0097,TXN_easy_0097,True,exact
B_easy_0098,TXN_easy_0098,True,exact
B_easy_0099,TXN_easy_0099,True,exact
