bank_tx,ledger_tx,match,scenario
B_hard_0000,TXN_hard_0000,False,date_trap
B_hard_0001,TXN_hard_0001,True,duplicate
B_hard_0001_dup,,False,duplicate
B_hard_0002,,False,similar_merchant_trap
B_hard_0003,,False,similar_merchant_trap
B_hard_0004,TXN_hard_0004,False,date_trap
B_hard_0005,,False,similar_merchant_trap
B_hard_0006,TXN_hard_0006,False,date_trap
B_hard_0007,TXN_hard_0007,False,date_trap
B_hard_0008,TXN_hard_0008,True,duplicate
B_hard_0008_dup,,False,duplicate
B_hard_0009,TXN_hard_0009,False,date_trap
B_hard_0010,TXN_hard_0010,False,amount_mismatch
B_hard_0011,,False,similar_merchant_trap
B_hard_0012,TXN_hard_0012,True,duplicate
B_hard_0012_dup,,False,duplicate
B_hard_0013,TXN_hard_0013,False,amount_mismatch
B_hard_0014,TXN_hard_0014,False,amount_mismatch
B_hard_0015,TXN_hard_0015,True,duplicate
B_hard_0015_dup,,False,duplicate
B_hard_0016,TXN_hard_0016,True,duplicate
B_hard_0016_dup,,False,duplicate
B_hard_0017,TXN_hard_0017,False,date_trap
B_hard_0018,,False,similar_merchant_trap
B_hard_0019,,False,similar_merchant_trap
B_hard_0020,,False,similar_merchant_trap
B_hard_0021,,False,similar_merchant_trap
B_hard_0022,TXN_hard_0022,False,amount_mismatch
B_hard_0023,,False,similar_merchant_trap
B_hard_0024,TXN_hard_0024,False,amount_mismatch
B_hard_0025,TXN_hard_0025,False,amount_mismatch
B_hard_0026,,False,similar_merchant_trap
B_hard_0027,TXN_hard_0027,False,date_trap
B_hard_0028,,False,similar_merchant_trap
B_hard_0029,,False,similar_merchant_trap
B_hard_0030,TXN_hard_0030,False,date_trap
B_hard_0031,TXN_hard_0031,True,duplicate
B_hard_0031_dup,,False,duplicate
B_hard_0032,TXN_hard_0032,False,amount_mismatch
B_hard_0033,TXN_hard_0033,True,duplicate
B_hard_0033_dup,,False,duplicate
B_hard_0034,TXN_hard_0034,False,amount_mismatch
B_hard_0035,,False,similar_merchant_trap
B_hard_0036,,False,similar_merchant_trap
B_hard_0037,TXN_hard_0037,True,duplicate
B_hard_0037_dup,,False,duplicate
B_hard_0038,TXN_hard_0038,False,amount_mismatch
B_hard_0039,TXN_hard_0039,True,duplicate
B_hard_0039_dup,,False,duplicate
B_hard_0040,TXN_hard_0040,False,amount_mismatch
B_hard_0041,TXN_hard_0041,True,duplicate
B_hard_0041_dup,,False,duplicate
B_hard_0042,,False,similar_merchant_trap
B_hard_0043,,False,similar_merchant_trap
