bank_id,date,desc,amount
B_easy_0000,2026-01-18,STARBUCKS #1234,413.69
B_easy_0001,2026-01-04,UBER TRIP HELP.UBER.COM,4644.1
B_easy_0002,2026-01-28,UBER TRIP HELP.UBER.COM,856.54
B_easy_0003,2026-01-01,GOOGLE *CLOUD_12345,2253.77
B_easy_0004,2026-01-23,AMZN MKTP IN,4500.38
B_easy_0005,2026-01-01,UBER TRIP HELP.UBER.COM,2466.19
B_easy_0006,2026-01-28,APPLE.COM/BILL CUPERTINO,3515.06
B_easy_0007,2026-01-02,AMZN MKTP IN,1459.03
B_easy_0008,2026-01-10,APPLE.COM/BILL CUPERTINO,691.58
B_easy_0009,2026-01-13,AMZN MKTP IN,485.43
B_easy_0010,2026-01-13,NETFLIX.COM,586.98
B_easy_0011,2026-01-05,UBER TRIP HELP.UBER.COM,2827.85
B_easy_0012,2026-01-27,GOOGLE *CLOUD_12345,1832.91
B_easy_0013,2026-01-26,UBER TRIP HELP.UBER.COM,4075.62
B_easy_0014,2026-01-03,NETFLIX.COM,4062.91
B_easy_0015,2026-01-18,ZOMATO*ORDER_5678,4743.03
B_easy_0016,2026-01-24,RELIANCE SMART STORE,2551.65
B_easy_0017,2026-01-25,RELIANCE SMART STORE,907.48
B_easy_0018,2026-01-27,RELIANCE SMART STORE,1502.63
B_easy_0019,2026-01-20,UBER TRIP HELP.UBER.COM,1538.87
B_easy_0020,2026-01-20,UBER TRIP HELP.UBER.COM,1293.07
B_easy_0021,2026-01-21,APPLE.COM/BILL CUPERTINO,4830.81
B_easy_0022,2026-01-27,UBER TRIP HELP.UBER.COM,2984.54
B_easy_0023,2026-01-30,RELIANCE SMART STORE,594.85
B_easy_0024,2026-01-01,APPLE.COM/BILL CUPERTINO,98.75
B_easy_0025,2026-01-16,STARBUCKS #1234,2031.21
B_easy_0026,2026-01-27,ZOMATO*ORDER_5678,968.88
B_easy_0027,2026-01-17,RELIANCE SMART STORE,3975.61
B_easy_0028,2026-01-16,UBER TRIP HELP.UBER.COM,4133.89
B_easy_0029,2026-01-09,APPLE.COM/BILL CUPERTINO,1471.7
B_easy_0030,2026-01-04,AMZN MKTP IN,3096.22
B_easy_0031,2026-01-05,NETFLIX.COM,4521.7
B_easy_0032,2026-01-29,ZOMATO*ORDER_5678,1697.45
B_easy_0033,2026-01-09,AMZN MKTP IN,4971.12
B_easy_0034,2026-01-16,STARBUCKS #1234,98.72
B_easy_0035,2026-01-25,NETFLIX.COM,3538.72
B_easy_0036,2026-01-10,UBER TRIP HELP.UBER.COM,3718.96
B_easy_0037,2026-01-27,APPLE.COM/BILL CUPERTINO,1492.5
B_easy_0038,2026-01-24,APPLE.COM/BILL CUPERTINO,1610.32
B_easy_0039,2026-01-20,NETFLIX.COM,1263.27
B_easy_0040,2026-01-30,STARBUCKS #1234,1510.6
B_easy_0041,2026-01-04,APPLE.COM/BILL CUPERTINO,1307.73
B_easy_0042,2026-01-28,RELIANCE SMART STORE,654.41
B_easy_0043,2026-01-19,NETFLIX.COM,166.22
B_easy_0044,2026-01-28,NETFLIX.COM,4057.65
B_easy_0045,2026-01-17,ZOMATO*ORDER_5678,3187.63
B_easy_0046,2026-01-18,APPLE.COM/BILL CUPERTINO,1769.51
B_easy_0047,2026-01-14,UBER TRIP HELP.UBER.COM,420.59
B_easy_0048,2026-01-11,APPLE.COM/BILL CUPERTINO,4876.61
B_easy_0049,2026-01-16,RELIANCE SMART STORE,1197.84
B_easy_0050,2026-01-24,STARBUCKS #1234,2887.14
B_easy_0051,2026-01-27,APPLE.COM/BILL CUPERTINO,1001.94
B_easy_0052,2026-01-17,ZOMATO*ORDER_5678,1654.01
B_easy_0053,2026-01-17,GOOGLE *CLOUD_12345,2309.86
B_easy_0054,2026-01-12,AMZN MKTP IN,3567.06
B_easy_0055,2026-01-14,GOOGLE *CLOUD_12345,3733.34
B_easy_0056,2026-01-09,STARBUCKS #1234,1486.37
B_easy_0057,2026-01-17,GOOGLE *CLOUD_12345,1522.27
B_easy_0058,2026-01-06,NETFLIX.COM,4456.75
B_easy_0059,2026-01-12,NETFLIX.COM,3468.49
B_easy_0060,2026-01-22,UBER TRIP HELP.UBER.COM,3916.52
B_easy_0061,2026-01-23,AMZN MKTP IN,84.9
B_easy_0062,2026-01-23,APPLE.COM/BILL CUPERTINO,4206.5
B_easy_0063,2026-01-13,ZOMATO*ORDER_5678,590.0
B_easy_0064,2026-01-05,STARBUCKS #1234,2867.86
B_easy_0065,2026-01-17,NETFLIX.COM,4892.89
B_easy_0066,2026-01-28,GOOGLE *CLOUD_12345,202.08
B_easy_0067,2026-01-29,STARBUCKS #1234,2205.67
B_easy_0068,2026-01-21,NETFLIX.COM,18.46
B_easy_0069,2026-01-04,ZOMATO*ORDER_5678,1667.96
B_easy_0070,2026-01-18,NETFLIX.COM,2400.24
B_easy_0071,2026-01-29,RELIANCE SMART STORE,138.32
B_easy_0072,2026-01-03,RELIANCE SMART STORE,4450.91
B_easy_0073,2026-01-17,UBER TRIP HELP.UBER.COM,2701.87
B_easy_0074,2026-01-20,APPLE.COM/BILL CUPERTINO,2844.91
B_easy_0075,2026-01-07,GOOGLE *CLOUD_12345,1635.91
B_easy_0076,2026-01-15,ZOMATO*ORDER_5678,1349.15
B_easy_0077,2026-01-28,GOOGLE *CLOUD_12345,2850.62
B_easy_0078,2026-01-03,STARBUCKS #1234,3018.05
B_easy_0079,2026-01-13,AMZN MKTP IN,2949.03
B_easy_0080,2026-01-30,UBER TRIP HELP.UBER.COM,2941.24
B_easy_0081,2026-01-04,GOOGLE *CLOUD_12345,2373.89
B_easy_0082,2026-01-22,GOOGLE *CLOUD_12345,1622.09
B_easy_0083,2026-01-08,GOOGLE *CLOUD_12345,2446.45
B_easy_0084,2026-01-10,AMZN MKTP IN,1893.07
B_easy_0085,2026-01-01,ZOMATO*ORDER_5678,2406.12
B_easy_0086,2026-01-16,RELIANCE SMART STORE,4780.75
B_easy_0087,2026-01-17,ZOMATO*ORDER_5678,4358.41
B_easy_0088,2026-01-22,NETFLIX.COM,3650.72
B_easy_0089,2026-01-28,STARBUCKS #1234,2780.35
B_easy_0090,2026-01-09,RELIANCE SMART STORE,531.66
B_easy_0091,2026-01-28,RELIANCE SMART STORE,1631.25
B_easy_0092,2026-01-19,GOOGLE *CLOUD_12345,343.08
B_easy_0093,2026-01-13,UBER TRIP HELP.UBER.COM,3647.02
B_easy_0094,2026-01-31,RELIANCE SMART STORE,261.13
B_easy_0095,2026-01-05,NETFLIX.COM,3346.96
B_easy_0096,2026-01-02,NETFLIX.COM,4951.27
B_easy_0097,2026-01-04,AMZN MKTP IN,3706.0
B_easy_0098,2026-01-21,STARBUCKS #1234,2721.79
B_easy_0099,2026-01-11,STARBUCKS #1234,1401.57
