bank_id,date,desc,amount
B_hard_0000,2026-02-04,UBER TRIP HELP.UBER.COM,2315.43
B_hard_0001,2026-01-31,UBER TRIP HELP.UBER.COM,1930.3
B_hard_0001_dup,2026-01-31,UBER TRIP HELP.UBER.COM,1930.3
B_hard_0002,2026-01-12,Amazon Prime,1500.0
B_hard_0003,2026-01-13,Amazon Prime,1500.0
B_hard_0004,2026-01-11,NETFLIX.COM,2244.95
B_hard_0005,2026-01-11,Amazon Prime,1500.0
B_hard_0006,2026-01-15,STARBUCKS #1234,3212.62
B_hard_0007,2026-02-08,STARBUCKS #1234,2258.85
B_hard_0008,2026-01-27,APPLE.COM/BILL CUPERTINO,2128.57
B_hard_0008_dup,2026-01-27,APPLE.COM/BILL CUPERTINO,2128.57
B_hard_0009,2026-01-13,AMZN MKTP IN,338.24
B_hard_0010,2026-01-06,APPLE.COM/BILL CUPERTINO,2936.07
B_hard_0011,2026-01-31,Amazon Prime,1500.0
B_hard_0012,2026-01-04,RELIANCE SMART STORE,23.97
B_hard_0012_dup,2026-01-04,RELIANCE SMART STORE,23.97
B_hard_0013,2026-01-31,NETFLIX.COM,253.4
B_hard_0014,2026-01-29,UBER TRIP HELP.UBER.COM,1074.09
B_hard_0015,2026-01-20,RELIANCE SMART STORE,2069.44
B_hard_0015_dup,2026-01-20,RELIANCE SMART STORE,2069.44
B_hard_0016,2026-01-12,APPLE.COM/BILL CUPERTINO,1382.89
B_hard_0016_dup,2026-01-12,APPLE.COM/BILL CUPERTINO,1382.89
B_hard_0017,2026-01-27,AMZN MKTP IN,2935.43
B_hard_0018,2026-01-23,Amazon Prime,1500.0
B_hard_0019,2026-01-13,Amazon Prime,1500.0
B_hard_0020,2026-01-20,Amazon Prime,1500.0
B_hard_0021,2026-01-27,Amazon Prime,1500.0
B_hard_0022,2026-01-17,NETFLIX.COM,410.52
B_hard_0023,2026-01-29,Amazon Prime,1500.0
B_hard_0024,2026-01-04,GOOGLE *CLOUD_12345,1176.51
B_hard_0025,2026-01-13,APPLE.COM/BILL CUPERTINO,355.14
B_hard_0026,2026-01-31,Amazon Prime,1500.0
B_hard_0027,2026-02-10,AMZN MKTP IN,1745.51
B_hard_0028,2026-01-06,Amazon Prime,1500.0
B_hard_0029,2026-01-18,Amazon Prime,1500.0
B_hard_0030,2026-01-28,APPLE.COM/BILL CUPERTINO,3547.2
B_hard_0031,2026-01-25,GOOGLE *CLOUD_12345,1609.72
B_hard_0031_dup,2026-01-25,GOOGLE *CLOUD_12345,1609.72
B_hard_0032,2026-01-06,UBER TRIP HELP.UBER.COM,2320.69
B_hard_0033,2026-01-24,STARBUCKS #1234,209.81
B_hard_0033_dup,2026-01-24,STARBUCKS #1234,209.81
B_hard_0034,2026-01-14,AMZN MKTP IN,475.62
B_hard_0035,2026-01-26,Amazon Prime,1500.0
B_hard_0036,2026-01-30,Amazon Prime,1500.0
B_hard_0037,2026-01-16,AMZN MKTP IN,3904.44
B_hard_0037_dup,2026-01-16,AMZN MKTP IN,3904.44
B_hard_0038,2026-01-11,AMZN MKTP IN,558.65
B_hard_0039,2026-01-27,RELIANCE SMART STORE,2822.32
B_hard_0039_dup,2026-01-27,RELIANCE SMART STORE,2822.32
