bank_id,date,desc,amount
B_medium_0000,2026-01-31,UBER TRIP HELP.UBER.COM 57882,2054.91
B_medium_0002,2026-01-06,UBER TRIP HELP.UBER.COM,2384.51
B_medium_0003,2026-01-14,APPLE.COM/BILL CUPERTINO,677.94
B_medium_0004,2026-01-19,AMZN MKTP IN,3253.33
B_medium_0007,2026-01-01,AMZN MKTP IN,3269.56
B_medium_0009,2026-01-25,AMZN MKTP IN,2815.47
B_medium_0010,2026-01-28,APPLE.COM/BILL CUPERTINO,4887.99
B_medium_0011,2026-01-29,APPLE.COM/BILL CUPERTINO,591.94
B_medium_0012,2026-01-31,NETFLIX.COM 41242,3465.68
B_medium_0013,2026-01-22,RELIANCE SMART STORE,1156.5
B_medium_0014,2026-01-22,AMZN MKTP IN,404.97
B_medium_0015,2026-01-07,AMZN MKTP IN,2072.48
B_medium_0016,2026-01-23,GOOGLE *CLOUD_12345,262.22
B_medium_0017,2026-01-28,GOOGLE *CLOUD_12345,3477.68
B_medium_0018,2026-01-06,RELIANCE SMART STORE 82102,4703.52
B_medium_0019,2026-01-23,NETFLIX.COM,3365.23
B_medium_0020,2026-01-18,RELIANCE SMART STORE,4993.08
B_medium_0021,2026-01-07,RELIANCE SMART STORE 44681,68.69
B_medium_0022,2026-01-02,GOOGLE *CLOUD_12345,1480.76
B_medium_0023,2026-01-03,ZOMATO*ORDER_5678,604.65
B_medium_0024,2026-01-07,NETFLIX.COM,3363.33
B_medium_0025,2026-01-19,UBER TRIP HELP.UBER.COM,2341.24
B_medium_0026,2025-12-31,RELIANCE SMART STORE,2715.51
B_medium_0027,2026-01-14,GOOGLE *CLOUD_12345 66221,3835.75
B_medium_0028,2026-01-23,GOOGLE *CLOUD_12345,4785.02
B_medium_0030,2026-01-20,AMZN MKTP IN,4679.81
B_medium_0032,2026-01-03,APPLE.COM/BILL CUPERTINO,2574.08
B_medium_0033,2026-01-24,APPLE.COM/BILL CUPERTINO,338.2
B_medium_0034,2026-01-09,APPLE.COM/BILL CUPERTINO,390.52
B_medium_0035,2026-01-04,NETFLIX.COM,1839.61
B_medium_0036,2026-01-27,APPLE.COM/BILL CUPERTINO,3367.05
B_medium_0037,2026-01-10,STARBUCKS #1234 45708,324.07
B_medium_0038,2026-01-14,APPLE.COM/BILL CUPERTINO,1096.83
B_medium_0039,2026-01-06,APPLE.COM/BILL CUPERTINO,1606.44
B_medium_0040,2026-01-06,APPLE.COM/BILL CUPERTINO,1772.27
B_medium_0041,2026-01-24,AMZN MKTP IN,837.7
B_medium_0042,2026-01-27,RELIANCE SMART STORE,4590.62
B_medium_0043,2026-01-31,NETFLIX.COM,941.95
B_medium_0044,2026-01-03,UBER TRIP HELP.UBER.COM,734.76
B_medium_0046,2026-01-12,GOOGLE *CLOUD_12345 69617,3166.38
B_medium_0047,2026-01-29,GOOGLE *CLOUD_12345,2767.4
B_medium_0048,2026-01-07,GOOGLE *CLOUD_12345 19089,1099.27
B_medium_0051,2026-01-05,UBER TRIP HELP.UBER.COM,3432.74
B_medium_0053,2026-01-27,AMZN MKTP IN 40593,1194.89
B_medium_0054,2026-01-26,ZOMATO*ORDER_5678,1217.57
B_medium_0055,2026-01-26,GOOGLE *CLOUD_12345,536.58
B_medium_0056,2026-01-16,STARBUCKS #1234 32408,1267.91
B_medium_0057,2026-01-06,NETFLIX.COM,4428.39
B_medium_0059,2026-01-10,GOOGLE *CLOUD_12345,4224.0
B_medium_0060,2026-01-25,ZOMATO*ORDER_5678,1208.16
B_medium_0061,2026-01-11,ZOMATO*ORDER_5678,453.06
B_medium_0062,2026-01-05,APPLE.COM/BILL CUPERTINO 13360,3912.19
B_medium_0063,2026-01-12,ZOMATO*ORDER_5678,2398.69
B_medium_0064,2026-01-09,RELIANCE SMART STORE 07805,4059.3
B_medium_0065,2026-01-22,GOOGLE *CLOUD_12345,3353.26
B_medium_0066,2026-01-23,NETFLIX.COM,3202.28
B_medium_0067,2026-01-08,ZOMATO*ORDER_5678,2354.03
B_medium_0069,2026-01-02,STARBUCKS #1234 22010,166.02
B_medium_0071,2026-01-07,AMZN MKTP IN,1275.37
B_medium_0072,2026-01-12,STARBUCKS #1234,3316.2
B_medium_0073,2026-01-15,APPLE.COM/BILL CUPERTINO,541.23
B_medium_0074,2026-01-22,AMZN MKTP IN,1424.99
B_medium_0075,2026-01-19,AMZN MKTP IN,3337.28
B_medium_0076,2026-01-28,ZOMATO*ORDER_5678 16471,2185.7
B_medium_0077,2026-01-01,AMZN MKTP IN 49101,2577.73
B_medium_0079,2026-01-05,APPLE.COM/BILL CUPERTINO,1201.18
B_medium_0080,2026-01-03,STARBUCKS #1234,2445.2
B_medium_0081,2026-01-04,ZOMATO*ORDER_5678,1345.61
B_medium_0082,2026-01-11,AMZN MKTP IN,3340.28
B_medium_0085,2026-01-30,ZOMATO*ORDER_5678 23170,4034.37
B_medium_0086,2026-01-19,NETFLIX.COM,2605.06
B_medium_0087,2026-01-25,GOOGLE *CLOUD_12345 33148,1022.27
B_medium_0088,2026-01-18,ZOMATO*ORDER_5678,4608.67
B_medium_0089,2026-01-23,NETFLIX.COM 64365,1833.26
B_medium_0092,2026-01-20,APPLE.COM/BILL CUPERTINO,1870.98
B_medium_0093,2026-01-07,APPLE.COM/BILL CUPERTINO,3148.7
B_medium_0094,2026-01-30,UBER TRIP HELP.UBER.COM,1927.43
B_medium_0095,2026-01-19,UBER TRIP HELP.UBER.COM,2259.18
B_medium_0096,2026-01-12,UBER TRIP HELP.UBER.COM,3561.71
B_medium_0098,2026-01-19,NETFLIX.COM,325.82
B_medium_0099,2026-01-23,UBER TRIP HELP.UBER.COM 83008,2034.62
B_medium_0101,2026-01-15,ZOMATO*ORDER_5678,4446.75
B_medium_0102,2026-01-31,ZOMATO*ORDER_5678,4058.17
B_medium_0103,2026-01-02,NETFLIX.COM,1531.41
B_medium_0104,2026-01-03,RELIANCE SMART STORE,219.47
B_medium_0105,2026-01-18,AMZN MKTP IN,4759.27
B_medium_0106,2026-01-11,UBER TRIP HELP.UBER.COM,580.26
B_medium_0107,2026-01-12,GOOGLE *CLOUD_12345,2348.86
B_medium_0108,2026-01-11,APPLE.COM/BILL CUPERTINO,4784.76
B_medium_0109,2026-01-18,UBER TRIP HELP.UBER.COM,1808.12
B_medium_0110,2026-01-30,STARBUCKS #1234,3187.19
B_medium_0111,2026-01-01,ZOMATO*ORDER_5678,4729.46
B_medium_0113,2026-01-15,RELIANCE SMART STORE 80726,795.28
B_medium_0114,2026-01-20,NETFLIX.COM,3280.17
B_medium_0115,2026-01-05,ZOMATO*ORDER_5678 04295,1149.5
B_medium_0116,2026-01-06,AMZN MKTP IN,903.28
B_medium_0117,2026-01-17,UBER TRIP HELP.UBER.COM,1635.45
B_medium_0118,2026-01-13,NETFLIX.COM,2638.72
B_medium_0120,2026-01-13,ZOMATO*ORDER_5678,2238.02
B_medium_0121,2026-01-07,STARBUCKS #1234 17199,1568.0
B_medium_0122,2026-01-11,APPLE.COM/BILL CUPERTINO,504.68
B_medium_0124,2026-01-29,UBER TRIP HELP.UBER.COM,2780.25
B_medium_0125,2026-01-31,APPLE.COM/BILL CUPERTINO,1569.08
B_medium_0127,2026-01-18,RELIANCE SMART STORE,3344.23
B_medium_0128,2026-01-17,ZOMATO*ORDER_5678,1975.77
B_medium_0129,2026-01-16,STARBUCKS #1234,2943.01
B_medium_0130,2026-01-16,STARBUCKS #1234,697.84
B_medium_0131,2026-01-04,ZOMATO*ORDER_5678,2571.7
B_medium_0132,2026-01-03,RELIANCE SMART STORE,4059.04
B_medium_0133,2026-01-06,GOOGLE *CLOUD_12345 40258,750.12
B_medium_0134,2026-01-09,GOOGLE *CLOUD_12345,199.87
B_medium_0135,2026-01-28,UBER TRIP HELP.UBER.COM,1755.8
B_medium_0137,2026-01-19,ZOMATO*ORDER_5678,303.15
B_medium_0138,2026-01-11,APPLE.COM/BILL CUPERTINO,521.24
B_medium_0139,2026-01-13,ZOMATO*ORDER_5678,314.65
B_medium_0140,2026-01-18,UBER TRIP HELP.UBER.COM 45303,2688.83
B_medium_0141,2026-01-04,GOOGLE *CLOUD_12345,1671.81
B_medium_0142,2026-01-10,APPLE.COM/BILL CUPERTINO,2599.21
B_medium_0143,2026-01-09,RELIANCE SMART STORE,184.62
B_medium_0144,2026-01-30,GOOGLE *CLOUD_12345,4817.13
B_medium_0145,2026-01-26,UBER TRIP HELP.UBER.COM,3008.64
B_medium_0146,2026-01-06,UBER TRIP HELP.UBER.COM,2655.38
B_medium_0147,2026-01-18,RELIANCE SMART STORE 15887,2355.16
B_medium_0148,2026-01-27,UBER TRIP HELP.UBER.COM,499.66
B_medium_0151,2026-01-17,UBER TRIP HELP.UBER.COM 29864,4450.53
B_medium_0152,2026-01-07,UBER TRIP HELP.UBER.COM,4125.18
B_medium_0154,2026-01-03,STARBUCKS #1234,2010.44
B_medium_0155,2026-01-03,APPLE.COM/BILL CUPERTINO,3983.47
B_medium_0156,2026-01-12,APPLE.COM/BILL CUPERTINO,1562.61
B_medium_0157,2026-01-31,NETFLIX.COM,1175.21
B_medium_0158,2026-01-24,UBER TRIP HELP.UBER.COM,2360.67
B_medium_0159,2026-01-28,GOOGLE *CLOUD_12345,3548.55
B_medium_0162,2026-01-28,UBER TRIP HELP.UBER.COM,1157.95
B_medium_0163,2026-01-03,RELIANCE SMART STORE,4255.05
B_medium_0165,2026-01-04,AMZN MKTP IN 93055,2790.87
B_medium_0166,2026-01-09,NETFLIX.COM,3487.64
B_medium_0167,2026-01-07,AMZN MKTP IN,4878.97
B_medium_0168,2026-01-05,GOOGLE *CLOUD_12345,4369.31
B_medium_0169,2026-01-08,RELIANCE SMART STORE,1754.11
B_medium_0170,2026-01-31,STARBUCKS #1234,2212.2
B_medium_0171,2026-01-27,ZOMATO*ORDER_5678,1824.99
B_medium_0172,2026-01-18,NETFLIX.COM,2719.16
B_medium_0173,2026-01-22,NETFLIX.COM,646.19
B_medium_0174,2026-01-31,UBER TRIP HELP.UBER.COM,1932.15
B_medium_0175,2026-01-19,AMZN MKTP IN,1934.13
B_medium_0176,2026-01-01,GOOGLE *CLOUD_12345,1499.57
B_medium_0177,2026-01-07,RELIANCE SMART STORE,1437.08
B_medium_0178,2026-01-22,STARBUCKS #1234,3728.38
B_medium_0179,2026-01-04,NETFLIX.COM,3510.19
B_medium_0180,2026-01-21,GOOGLE *CLOUD_12345,4338.41
B_medium_0181,2026-01-13,ZOMATO*ORDER_5678 79014,2725.75
B_medium_0182,2026-01-27,APPLE.COM/BILL CUPERTINO,4873.65
B_medium_0183,2026-01-01,UBER TRIP HELP.UBER.COM,2703.27
B_medium_0186,2026-01-10,RELIANCE SMART STORE 49206,4208.72
B_medium_0188,2026-01-26,APPLE.COM/BILL CUPERTINO,4749.4
B_medium_0189,2026-01-02,APPLE.COM/BILL CUPERTINO,1849.38
B_medium_0190,2026-01-11,GOOGLE *CLOUD_12345,3971.31
B_medium_0191,2026-01-17,AMZN MKTP IN,3618.34
B_medium_0192,2026-01-24,AMZN MKTP IN,1437.01
B_medium_0193,2026-01-16,RELIANCE SMART STORE,930.89
B_medium_0194,2026-01-02,GOOGLE *CLOUD_12345 17202,1783.93
B_medium_0195,2026-01-04,UBER TRIP HELP.UBER.COM,1363.53
B_medium_0196,2026-01-16,RELIANCE SMART STORE,1804.79
B_medium_0197,2026-01-11,AMZN MKTP IN,4834.7
B_medium_0198,2026-01-16,GOOGLE *CLOUD_12345,2013.47
