id,date,desc,amount
TXN_easy_0000,2026-01-17,Google Cloud,1317.54
TXN_easy_0001,2026-01-04,Uber Technologies,1721.17
TXN_easy_0002,2026-01-20,Uber Technologies,2122.9
TXN_easy_0003,2026-01-15,Apple.com/Bill,3183.22
TXN_easy_0004,2026-01-08,Netflix,675.73
TXN_easy_0005,2026-01-06,Reliance Retail,4743.72
TXN_easy_0006,2026-01-01,Uber Technologies,1085.75
TXN_easy_0007,2026-01-15,Starbucks Coffee,3758.22
TXN_easy_0008,2026-01-01,Apple.com/Bill,888.29
TXN_easy_0009,2026-01-20,Uber Technologies,371.25
TXN_easy_0010,2026-01-09,Zomato,3894.84
TXN_easy_0011,2026-01-21,Amazon Marketplace,1919.82
TXN_easy_0012,2026-01-02,Google Cloud,4823.89
TXN_easy_0013,2026-01-18,Starbucks Coffee,4547.1
TXN_easy_0014,2026-01-31,Google Cloud,3768.14
TXN_easy_0015,2026-01-20,Netflix,1646.87
TXN_easy_0016,2026-01-26,Apple.com/Bill,1367.42
TXN_easy_0017,2026-01-06,Amazon Marketplace,684.12
TXN_easy_0018,2026-01-15,Zomato,1591.65
TXN_easy_0019,2026-01-15,Google Cloud,3081.22
TXN_easy_0020,2026-01-20,Zomato,4007.86
TXN_easy_0021,2026-01-02,Google Cloud,994.15
TXN_easy_0022,2026-01-16,Zomato,600.1
TXN_easy_0023,2026-01-08,Amazon Marketplace,2616.75
TXN_easy_0024,2026-01-07,Reliance Retail,1391.49
TXN_easy_0025,2026-01-08,Amazon Marketplace,496.11
TXN_easy_0026,2026-01-21,Zomato,4129.92
TXN_easy_0027,2026-01-23,Netflix,922.89
TXN_easy_0028,2026-01-05,Starbucks Coffee,4160.6
TXN_easy_0029,2026-01-19,Uber Technologies,4643.16
TXN_easy_0030,2026-01-12,Google Cloud,3994.34
TXN_easy_0031,2026-01-05,Google Cloud,4641.02
TXN_easy_0032,2026-01-09,Apple.com/Bill,2325.23
TXN_easy_0033,2026-01-05,Amazon Marketplace,4426.63
TXN_easy_0034,2026-01-23,Starbucks Coffee,3746.47
TXN_easy_0035,2026-01-24,Zomato,3294.98
TXN_easy_0036,2026-01-14,Reliance Retail,3887.19
TXN_easy_0037,2026-01-31,Reliance Retail,635.02
TXN_easy_0038,2026-01-21,Amazon Marketplace,3198.7
TXN_easy_0039,2026-01-15,Netflix,822.79
TXN_easy_0040,2026-01-10,Reliance Retail,4742.94
TXN_easy_0041,2026-01-04,Google Cloud,830.37
TXN_easy_0042,2026-01-10,Reliance Retail,4038.69
TXN_easy_0043,2026-01-05,Apple.com/Bill,1139.96
TXN_easy_0044,2026-01-17,Apple.com/Bill,697.11
TXN_easy_0045,2026-01-18,Starbucks Coffee,747.19
TXN_easy_0046,2026-01-19,Reliance Retail,2024.03
TXN_easy_0047,2026-01-26,Amazon Marketplace,2426.37
TXN_easy_0048,2026-01-22,Starbucks Coffee,281.05
TXN_easy_0049,2026-01-30,Google Cloud,3269.06
TXN_easy_0050,2026-01-28,Apple.com/Bill,493.95
TXN_easy_0051,2026-01-03,Starbucks Coffee,2840.68
TXN_easy_0052,2026-01-06,Google Cloud,2578.29
TXN_easy_0053,2026-01-26,Reliance Retail,991.41
TXN_easy_0054,2026-01-10,Google Cloud,107.13
TXN_easy_0055,2026-01-21,Reliance Retail,2095.21
TXN_easy_0056,2026-01-07,Google Cloud,2978.04
TXN_easy_0057,2026-01-26,Apple.com/Bill,3428.87
TXN_easy_0058,2026-01-31,Google Cloud,1466.88
TXN_easy_0059,2026-01-18,Netflix,3181.4
TXN_easy_0060,2026-01-08,Google Cloud,2217.43
TXN_easy_0061,2026-01-22,Starbucks Coffee,1586.88
TXN_easy_0062,2026-01-09,Apple.com/Bill,962.75
TXN_easy_0063,2026-01-14,Reliance Retail,991.93
TXN_easy_0064,2026-01-19,Uber Technologies,4838.25
TXN_easy_0065,2026-01-26,Apple.com/Bill,2148.13
TXN_easy_0066,2026-01-05,Google Cloud,208.61
TXN_easy_0067,2026-01-21,Amazon Marketplace,3709.73
TXN_easy_0068,2026-01-20,Starbucks Coffee,4164.36
TXN_easy_0069,2026-01-07,Uber Technologies,4753.21
TXN_easy_0070,2026-01-30,Zomato,4128.91
TXN_easy_0071,2026-01-19,Amazon Marketplace,4025.27
TXN_easy_0072,2026-01-27,Zomato,2995.99
TXN_easy_0073,2026-01-26,Reliance Retail,925.0
TXN_easy_0074,2026-01-21,Uber Technologies,3039.39
TXN_easy_0075,2026-01-05,Starbucks Coffee,450.81
TXN_easy_0076,2026-01-13,Uber Technologies,695.12
TXN_easy_0077,2026-01-22,Google Cloud,1014.23
TXN_easy_0078,2026-01-27,Apple.com/Bill,491.72
TXN_easy_0079,2026-01-12,Google Cloud,921.06
TXN_easy_0080,2026-01-28,Google Cloud,3745.09
TXN_easy_0081,2026-01-15,Google Cloud,4481.9
TXN_easy_0082,2026-01-19,Netflix,1317.54
TXN_easy_0083,2026-01-22,Netflix,2021.8
TXN_easy_0084,2026-01-09,Amazon Marketplace,2578.33
TXN_easy_0085,2026-01-14,Apple.com/Bill,448.51
TXN_easy_0086,2026-01-01,Google Cloud,4201.42
TXN_easy_0087,2026-01-23,Netflix,668.62
TXN_easy_0088,2026-01-20,Zomato,152.52
TXN_easy_0089,2026-01-31,Apple.com/Bill,864.89
TXN_easy_0090,2026-01-20,Zomato,1450.37
TXN_easy_0091,2026-01-20,Uber Technologies,4786.36
TXN_easy_0092,2026-01-02,Netflix,4156.51
TXN_easy_0093,2026-01-17,Uber Technologies,1919.71
TXN_easy_0094,2026-01-20,Apple.com/Bill,3623.02
TXN_easy_0095,2026-01-16,Netflix,4628.45
TXN_easy_0096,2026-01-17,Apple.com/Bill,4888.51
TXN_easy_0097,2026-01-02,Uber Technologies,795.42
TXN_easy_0098,2026-01-07,Starbucks Coffee,2097.07
TXN_easy_0099,2026-01-09,Starbucks Coffee,14.51
