id,date,desc,amount
TXN_hard_0000,2026-01-19,Amazon Retail,500.0
TXN_hard_0001,2026-01-16,Netflix,4547.75
TXN_hard_0002,2026-01-22,Uber Technologies,1724.88
TXN_hard_0003,2026-01-05,Reliance Retail,4756.95
TXN_hard_0004,2026-01-10,Uber Technologies,3183.23
TXN_hard_0005,2026-01-29,Uber Technologies,3114.23
TXN_hard_0006,2026-01-11,Starbucks Coffee,4439.29
TXN_hard_0007,2026-01-09,Apple.com/Bill,125.51
TXN_hard_0008,2026-01-15,Netflix,2813.5
TXN_hard_0009,2026-01-08,Amazon Retail,500.0
TXN_hard_0010,2026-01-14,Amazon Marketplace,3480.94
TXN_hard_0011,2026-01-18,Uber Technologies,2561.65
TXN_hard_0012,2026-01-26,Amazon Retail,500.0
TXN_hard_0013,2026-01-18,Amazon Retail,500.0
TXN_hard_0014,2026-01-31,Amazon Marketplace,2296.25
TXN_hard_0015,2026-01-14,Reliance Retail,697.24
TXN_hard_0016,2026-01-10,Google Cloud,1160.23
TXN_hard_0017,2026-01-16,Reliance Retail,2561.32
TXN_hard_0018,2026-01-11,Amazon Marketplace,1070.62
TXN_hard_0019,2026-01-27,Amazon Retail,500.0
TXN_hard_0020,2026-01-11,Amazon Retail,500.0
TXN_hard_0021,2026-01-29,Zomato,2717.34
TXN_hard_0022,2026-01-28,Netflix,3380.76
TXN_hard_0023,2026-01-03,Starbucks Coffee,39.19
TXN_hard_0024,2026-01-12,Uber Technologies,4148.81
TXN_hard_0025,2026-01-17,Amazon Retail,500.0
TXN_hard_0026,2026-01-23,Uber Technologies,4121.18
TXN_hard_0027,2026-01-02,Amazon Marketplace,2911.83
TXN_hard_0028,2026-01-05,Google Cloud,3988.39
TXN_hard_0029,2026-01-16,Uber Technologies,3346.64
TXN_hard_0030,2026-01-14,Amazon Retail,500.0
TXN_hard_0031,2026-01-01,Amazon Retail,500.0
TXN_hard_0032,2026-01-03,Amazon Retail,500.0
TXN_hard_0033,2026-01-19,Amazon Retail,500.0
TXN_hard_0034,2026-01-25,Amazon Retail,500.0
TXN_hard_0035,2026-01-30,Apple.com/Bill,1056.29
TXN_hard_0036,2026-01-08,Zomato,482.44
TXN_hard_0037,2026-01-03,Apple.com/Bill,1876.22
TXN_hard_0038,2026-01-23,Zomato,3517.21
TXN_hard_0039,2026-01-03,Amazon Retail,500.0
TXN_hard_0040,2026-01-18,Google Cloud,3521.27
TXN_hard_0041,2026-01-30,Reliance Retail,2364.35
TXN_hard_0042,2026-01-22,Amazon Marketplace,2669.64
TXN_hard_0043,2026-01-14,Amazon Retail,500.0
TXN_hard_0044,2026-01-04,Netflix,2171.73
TXN_hard_0045,2026-01-22,Google Cloud,109.41
TXN_hard_0046,2026-01-24,Reliance Retail,3701.0
TXN_hard_0047,2026-01-22,Amazon Retail,500.0
TXN_hard_0048,2026-01-23,Google Cloud,2774.43
TXN_hard_0049,2026-01-01,Zomato,1756.65
TXN_hard_0050,2026-01-12,Uber Technologies,4262.88
TXN_hard_0051,2026-01-24,Zomato,3921.06
TXN_hard_0052,2026-01-18,Google Cloud,2421.98
TXN_hard_0053,2026-01-05,Amazon Retail,500.0
TXN_hard_0054,2026-01-06,Zomato,850.8
TXN_hard_0055,2026-01-07,Reliance Retail,365.38
TXN_hard_0056,2026-01-11,Reliance Retail,3792.01
TXN_hard_0057,2026-01-12,Netflix,1442.7
TXN_hard_0058,2026-01-26,Uber Technologies,2042.29
TXN_hard_0059,2026-01-12,Amazon Retail,500.0
TXN_hard_0060,2026-01-11,Reliance Retail,3094.54
TXN_hard_0061,2026-01-05,Zomato,3143.08
TXN_hard_0062,2026-01-10,Zomato,1600.47
TXN_hard_0063,2026-01-04,Zomato,236.75
TXN_hard_0064,2026-01-18,Reliance Retail,718.57
TXN_hard_0065,2026-01-16,Zomato,195.63
TXN_hard_0066,2026-01-17,Amazon Marketplace,3970.22
TXN_hard_0067,2026-01-09,Zomato,4709.06
TXN_hard_0068,2026-01-09,Uber Technologies,588.53
TXN_hard_0069,2026-01-29,Starbucks Coffee,873.69
TXN_hard_0070,2026-01-07,Google Cloud,4856.07
TXN_hard_0071,2026-01-28,Reliance Retail,1839.28
TXN_hard_0072,2026-01-24,Uber Technologies,1139.08
TXN_hard_0073,2026-01-06,Netflix,3060.03
TXN_hard_0074,2026-01-05,Zomato,142.7
TXN_hard_0075,2026-01-29,Reliance Retail,3523.85
TXN_hard_0076,2026-01-29,Reliance Retail,1909.98
TXN_hard_0077,2026-01-19,Apple.com/Bill,71.23
TXN_hard_0078,2026-01-16,Netflix,3695.03
TXN_hard_0079,2026-01-10,Google Cloud,4782.29
TXN_hard_0080,2026-01-03,Apple.com/Bill,2847.71
TXN_hard_0081,2026-01-07,Amazon Marketplace,2082.65
TXN_hard_0082,2026-01-23,Netflix,1392.11
TXN_hard_0083,2026-01-02,Apple.com/Bill,3862.31
TXN_hard_0084,2026-01-07,Amazon Retail,500.0
TXN_hard_0085,2026-01-03,Apple.com/Bill,879.92
TXN_hard_0086,2026-01-22,Amazon Retail,500.0
TXN_hard_0087,2026-01-26,Amazon Marketplace,2756.09
TXN_hard_0088,2026-01-21,Amazon Retail,500.0
TXN_hard_0089,2026-01-27,Starbucks Coffee,4463.5
TXN_hard_0090,2026-01-12,Zomato,202.79
TXN_hard_0091,2026-01-22,Uber Technologies,1826.16
TXN_hard_0092,2026-01-20,Apple.com/Bill,2711.59
TXN_hard_0093,2026-01-07,Amazon Marketplace,1852.29
TXN_hard_0094,2026-01-19,Netflix,2752.29
TXN_hard_0095,2026-01-12,Starbucks Coffee,650.29
TXN_hard_0096,2026-01-07,Amazon Retail,500.0
TXN_hard_0097,2026-01-17,Uber Technologies,4996.3
TXN_hard_0098,2026-01-03,Apple.com/Bill,2021.51
TXN_hard_0099,2026-01-06,Uber Technologies,3992.5
TXN_hard_0100,2026-01-22,Starbucks Coffee,4822.99
TXN_hard_0101,2026-01-13,Uber Technologies,924.01
TXN_hard_0102,2026-01-10,Apple.com/Bill,660.37
TXN_hard_0103,2026-01-21,Amazon Retail,500.0
TXN_hard_0104,2026-01-10,Uber Technologies,3624.17
TXN_hard_0105,2026-01-22,Amazon Retail,500.0
TXN_hard_0106,2026-01-27,Google Cloud,66.57
TXN_hard_0107,2026-01-29,Apple.com/Bill,4949.49
TXN_hard_0108,2026-01-29,Reliance Retail,3884.75
TXN_hard_0109,2026-01-01,Amazon Marketplace,3283.24
TXN_hard_0110,2026-01-27,Zomato,1963.92
TXN_hard_0111,2026-01-25,Apple.com/Bill,3846.37
TXN_hard_0112,2026-01-14,Amazon Retail,500.0
TXN_hard_0113,2026-01-19,Starbucks Coffee,2720.45
TXN_hard_0114,2026-01-22,Zomato,4556.68
TXN_hard_0115,2026-01-24,Amazon Retail,500.0
TXN_hard_0116,2026-01-14,Amazon Retail,500.0
TXN_hard_0117,2026-01-05,Amazon Retail,500.0
TXN_hard_0118,2026-01-06,Uber Technologies,18.1
TXN_hard_0119,2026-01-30,Apple.com/Bill,199.5
TXN_hard_0120,2026-01-13,Apple.com/Bill,1568.22
TXN_hard_0121,2026-01-03,Uber Technologies,550.41
TXN_hard_0122,2026-01-17,Google Cloud,1488.72
TXN_hard_0123,2026-01-02,Amazon Retail,500.0
TXN_hard_0124,2026-01-06,Zomato,4068.66
TXN_hard_0125,2026-01-30,Uber Technologies,3927.0
TXN_hard_0126,2026-01-16,Starbucks Coffee,1945.41
TXN_hard_0127,2026-01-02,Amazon Marketplace,4831.79
TXN_hard_0128,2026-01-25,Amazon Marketplace,2860.02
TXN_hard_0129,2026-01-26,Reliance Retail,4532.01
TXN_hard_0130,2026-01-19,Apple.com/Bill,3866.89
TXN_hard_0131,2026-01-16,Amazon Retail,500.0
TXN_hard_0132,2026-01-21,Netflix,3628.88
TXN_hard_0133,2026-01-14,Reliance Retail,1386.1
TXN_hard_0134,2026-01-08,Starbucks Coffee,4670.99
TXN_hard_0135,2026-01-28,Apple.com/Bill,3313.67
TXN_hard_0136,2026-01-18,Amazon Retail,500.0
TXN_hard_0137,2026-01-21,Uber Technologies,1789.6
TXN_hard_0138,2026-01-19,Amazon Marketplace,4752.99
TXN_hard_0139,2026-01-23,Amazon Retail,500.0
TXN_hard_0140,2026-01-19,Apple.com/Bill,1990.91
TXN_hard_0141,2026-01-28,Starbucks Coffee,2433.29
TXN_hard_0142,2026-01-02,Amazon Retail,500.0
TXN_hard_0143,2026-01-10,Uber Technologies,346.37
TXN_hard_0144,2026-01-01,Reliance Retail,4673.66
TXN_hard_0145,2026-01-21,Starbucks Coffee,3586.53
TXN_hard_0146,2026-01-18,Zomato,2095.98
TXN_hard_0147,2026-01-03,Netflix,2314.61
TXN_hard_0148,2026-01-16,Google Cloud,4453.32
TXN_hard_0149,2026-01-01,Amazon Marketplace,3395.57
TXN_hard_0150,2026-01-22,Google Cloud,144.78
TXN_hard_0151,2026-01-24,Uber Technologies,3002.54
TXN_hard_0152,2026-01-02,Zomato,808.83
TXN_hard_0153,2026-01-27,Apple.com/Bill,1487.72
TXN_hard_0154,2026-01-27,Amazon Marketplace,1909.31
TXN_hard_0155,2026-01-15,Uber Technologies,3684.0
TXN_hard_0156,2026-01-06,Zomato,116.0
TXN_hard_0157,2026-01-16,Amazon Marketplace,1604.25
TXN_hard_0158,2026-01-18,Amazon Marketplace,4806.57
TXN_hard_0159,2026-01-01,Apple.com/Bill,557.01
TXN_hard_0160,2026-01-26,Amazon Marketplace,3994.25
TXN_hard_0161,2026-01-29,Apple.com/Bill,4062.55
TXN_hard_0162,2026-01-11,Zomato,4692.02
TXN_hard_0163,2026-01-20,Uber Technologies,2025.73
TXN_hard_0164,2026-01-23,Apple.com/Bill,2202.0
