id,date,desc,amount
TXN_medium_0000,2026-01-31,Uber Technologies,2054.91
TXN_medium_0001,2026-01-29,Amazon Marketplace,2886.73
TXN_medium_0002,2026-01-04,Uber Technologies,2384.51
TXN_medium_0003,2026-01-14,Apple.com/Bill,677.94
TXN_medium_0004,2026-01-19,Amazon Marketplace,3243.33
TXN_medium_0005,2026-01-20,Google Cloud,4715.93
TXN_medium_0006,2026-01-07,Google Cloud,1494.99
TXN_medium_0008,2026-01-23,Starbucks Coffee,3474.23
TXN_medium_0009,2026-01-25,Amazon Marketplace,2805.47
TXN_medium_0010,2026-01-28,Apple.com/Bill,4887.99
TXN_medium_0012,2026-01-31,Netflix,3465.68
TXN_medium_0014,2026-01-22,Amazon Marketplace,394.97
TXN_medium_0015,2026-01-07,Amazon Marketplace,2062.48
TXN_medium_0016,2026-01-24,Google Cloud,262.22
TXN_medium_0017,2026-01-28,Google Cloud,3477.68
TXN_medium_0018,2026-01-06,Reliance Retail,4703.52
TXN_medium_0020,2026-01-18,Reliance Retail,4993.08
TXN_medium_0021,2026-01-07,Reliance Retail,68.69
TXN_medium_0022,2026-01-02,Google Cloud,1480.76
TXN_medium_0024,2026-01-07,Netflix,3363.33
TXN_medium_0025,2026-01-19,Uber Technologies,2341.24
TXN_medium_0026,2026-01-01,Reliance Retail,2715.51
TXN_medium_0027,2026-01-14,Google Cloud,3835.75
TXN_medium_0028,2026-01-23,Google Cloud,4785.02
TXN_medium_0029,2026-01-24,Zomato,3436.03
TXN_medium_0030,2026-01-20,Amazon Marketplace,4679.81
TXN_medium_0031,2026-01-22,Starbucks Coffee,1443.32
TXN_medium_0032,2026-01-02,Apple.com/Bill,2574.08
TXN_medium_0033,2026-01-24,Apple.com/Bill,328.2
TXN_medium_0034,2026-01-09,Apple.com/Bill,390.52
TXN_medium_0035,2026-01-04,Netflix,1839.61
TXN_medium_0036,2026-01-27,Apple.com/Bill,3367.05
TXN_medium_0037,2026-01-10,Starbucks Coffee,324.07
TXN_medium_0039,2026-01-06,Apple.com/Bill,1596.44
TXN_medium_0040,2026-01-05,Apple.com/Bill,1772.27
TXN_medium_0041,2026-01-26,Amazon Marketplace,837.7
TXN_medium_0042,2026-01-27,Reliance Retail,4580.62
TXN_medium_0043,2026-01-31,Netflix,941.95
TXN_medium_0044,2026-01-03,Uber Technologies,724.76
TXN_medium_0045,2026-01-05,Uber Technologies,4396.38
TXN_medium_0046,2026-01-12,Google Cloud,3166.38
TXN_medium_0048,2026-01-07,Google Cloud,1099.27
TXN_medium_0049,2026-01-14,Uber Technologies,4711.77
TXN_medium_0050,2026-01-20,Reliance Retail,4534.35
TXN_medium_0051,2026-01-04,Uber Technologies,3432.74
TXN_medium_0052,2026-01-28,Amazon Marketplace,1424.16
TXN_medium_0053,2026-01-27,Amazon Marketplace,1194.89
TXN_medium_0055,2026-01-26,Google Cloud,536.58
TXN_medium_0056,2026-01-16,Starbucks Coffee,1267.91
TXN_medium_0057,2026-01-07,Netflix,4428.39
TXN_medium_0058,2026-01-23,Uber Technologies,1063.28
TXN_medium_0059,2026-01-10,Google Cloud,4214.0
TXN_medium_0060,2026-01-25,Zomato,1208.16
TXN_medium_0061,2026-01-09,Zomato,453.06
TXN_medium_0062,2026-01-05,Apple.com/Bill,3912.19
TXN_medium_0063,2026-01-12,Zomato,2388.69
TXN_medium_0064,2026-01-09,Reliance Retail,4059.3
TXN_medium_0065,2026-01-23,Google Cloud,3353.26
TXN_medium_0066,2026-01-23,Netflix,3192.28
TXN_medium_0067,2026-01-08,Zomato,2344.03
TXN_medium_0068,2026-01-04,Google Cloud,2384.12
TXN_medium_0069,2026-01-02,Starbucks Coffee,166.02
TXN_medium_0070,2026-01-28,Google Cloud,4243.95
TXN_medium_0071,2026-01-08,Amazon Marketplace,1275.37
TXN_medium_0072,2026-01-12,Starbucks Coffee,3306.2
TXN_medium_0073,2026-01-16,Apple.com/Bill,541.23
TXN_medium_0074,2026-01-22,Amazon Marketplace,1414.99
TXN_medium_0075,2026-01-19,Amazon Marketplace,3327.28
TXN_medium_0076,2026-01-28,Zomato,2185.7
TXN_medium_0077,2026-01-01,Amazon Marketplace,2577.73
TXN_medium_0078,2026-01-31,Amazon Marketplace,3995.13
TXN_medium_0080,2026-01-05,Starbucks Coffee,2445.2
TXN_medium_0082,2026-01-11,Amazon Marketplace,3340.28
TXN_medium_0083,2026-01-16,Apple.com/Bill,2735.06
TXN_medium_0084,2026-01-07,Starbucks Coffee,4563.23
TXN_medium_0085,2026-01-30,Zomato,4034.37
TXN_medium_0086,2026-01-19,Netflix,2595.06
TXN_medium_0087,2026-01-25,Google Cloud,1022.27
TXN_medium_0089,2026-01-23,Netflix,1833.26
TXN_medium_0090,2026-01-21,Amazon Marketplace,495.27
TXN_medium_0091,2026-01-26,Uber Technologies,2157.39
TXN_medium_0092,2026-01-20,Apple.com/Bill,1860.98
TXN_medium_0093,2026-01-07,Apple.com/Bill,3148.7
TXN_medium_0094,2026-01-30,Uber Technologies,1927.43
TXN_medium_0095,2026-01-20,Uber Technologies,2259.18
TXN_medium_0096,2026-01-12,Uber Technologies,3561.71
TXN_medium_0097,2026-01-09,Apple.com/Bill,4499.68
TXN_medium_0099,2026-01-23,Uber Technologies,2034.62
TXN_medium_0100,2026-01-06,Uber Technologies,2814.61
TXN_medium_0101,2026-01-16,Zomato,4446.75
TXN_medium_0102,2026-01-29,Zomato,4058.17
TXN_medium_0103,2026-01-02,Netflix,1521.41
TXN_medium_0104,2026-01-03,Reliance Retail,209.47
TXN_medium_0105,2026-01-16,Amazon Marketplace,4759.27
TXN_medium_0106,2026-01-13,Uber Technologies,580.26
TXN_medium_0108,2026-01-11,Apple.com/Bill,4774.76
TXN_medium_0109,2026-01-18,Uber Technologies,1798.12
TXN_medium_0110,2026-01-30,Starbucks Coffee,3187.19
TXN_medium_0111,2026-01-01,Zomato,4719.46
TXN_medium_0112,2026-01-20,Netflix,3099.69
TXN_medium_0113,2026-01-15,Reliance Retail,795.28
TXN_medium_0115,2026-01-05,Zomato,1149.5
TXN_medium_0116,2026-01-06,Amazon Marketplace,893.28
TXN_medium_0117,2026-01-17,Uber Technologies,1625.45
TXN_medium_0118,2026-01-13,Netflix,2638.72
TXN_medium_0119,2026-01-05,Uber Technologies,3632.26
TXN_medium_0120,2026-01-13,Zomato,2228.02
TXN_medium_0121,2026-01-07,Starbucks Coffee,1568.0
TXN_medium_0122,2026-01-11,Apple.com/Bill,504.68
TXN_medium_0123,2026-01-06,Zomato,2535.37
TXN_medium_0124,2026-01-28,Uber Technologies,2780.25
TXN_medium_0125,2026-01-31,Apple.com/Bill,1559.08
TXN_medium_0126,2026-01-24,Starbucks Coffee,2929.13
TXN_medium_0128,2026-01-17,Zomato,1975.77
TXN_medium_0129,2026-01-16,Starbucks Coffee,2943.01
TXN_medium_0130,2026-01-17,Starbucks Coffee,697.84
TXN_medium_0133,2026-01-06,Google Cloud,750.12
TXN_medium_0135,2026-01-28,Uber Technologies,1755.8
TXN_medium_0136,2026-01-28,Uber Technologies,2885.04
TXN_medium_0138,2026-01-13,Apple.com/Bill,521.24
TXN_medium_0140,2026-01-18,Uber Technologies,2688.83
TXN_medium_0141,2026-01-04,Google Cloud,1661.81
TXN_medium_0142,2026-01-10,Apple.com/Bill,2599.21
TXN_medium_0143,2026-01-09,Reliance Retail,184.62
TXN_medium_0144,2026-01-30,Google Cloud,4807.13
TXN_medium_0145,2026-01-28,Uber Technologies,3008.64
TXN_medium_0146,2026-01-06,Uber Technologies,2655.38
TXN_medium_0147,2026-01-18,Reliance Retail,2355.16
TXN_medium_0148,2026-01-27,Uber Technologies,499.66
TXN_medium_0149,2026-01-03,Starbucks Coffee,770.97
TXN_medium_0150,2026-01-27,Amazon Marketplace,3390.66
TXN_medium_0151,2026-01-17,Uber Technologies,4450.53
TXN_medium_0152,2026-01-07,Uber Technologies,4115.18
TXN_medium_0153,2026-01-24,Netflix,1843.18
TXN_medium_0154,2026-01-03,Starbucks Coffee,2010.44
TXN_medium_0155,2026-01-03,Apple.com/Bill,3983.47
TXN_medium_0157,2026-01-30,Netflix,1175.21
TXN_medium_0158,2026-01-24,Uber Technologies,2350.67
TXN_medium_0159,2026-01-27,Google Cloud,3548.55
TXN_medium_0160,2026-01-16,Apple.com/Bill,2642.26
TXN_medium_0161,2026-01-07,Uber Technologies,4575.84
TXN_medium_0162,2026-01-28,Uber Technologies,1147.95
TXN_medium_0163,2026-01-02,Reliance Retail,4255.05
TXN_medium_0164,2026-01-08,Netflix,732.03
TXN_medium_0165,2026-01-04,Amazon Marketplace,2790.87
TXN_medium_0166,2026-01-09,Netflix,3487.64
TXN_medium_0167,2026-01-07,Amazon Marketplace,4868.97
TXN_medium_0168,2026-01-03,Google Cloud,4369.31
TXN_medium_0169,2026-01-08,Reliance Retail,1744.11
TXN_medium_0170,2026-01-31,Starbucks Coffee,2212.2
TXN_medium_0171,2026-01-25,Zomato,1824.99
TXN_medium_0172,2026-01-19,Netflix,2719.16
TXN_medium_0173,2026-01-22,Netflix,636.19
TXN_medium_0175,2026-01-18,Amazon Marketplace,1934.13
TXN_medium_0177,2026-01-05,Reliance Retail,1437.08
TXN_medium_0179,2026-01-04,Netflix,3500.19
TXN_medium_0180,2026-01-22,Google Cloud,4338.41
TXN_medium_0181,2026-01-13,Zomato,2725.75
TXN_medium_0182,2026-01-27,Apple.com/Bill,4873.65
TXN_medium_0184,2026-01-26,Google Cloud,2344.06
TXN_medium_0185,2026-01-07,Apple.com/Bill,4784.69
TXN_medium_0186,2026-01-10,Reliance Retail,4208.72
TXN_medium_0187,2026-01-24,Starbucks Coffee,4116.42
TXN_medium_0188,2026-01-24,Apple.com/Bill,4749.4
TXN_medium_0190,2026-01-13,Google Cloud,3971.31
TXN_medium_0191,2026-01-17,Amazon Marketplace,3618.34
TXN_medium_0193,2026-01-17,Reliance Retail,930.89
TXN_medium_0194,2026-01-02,Google Cloud,1783.93
TXN_medium_0195,2026-01-04,Uber Technologies,1363.53
TXN_medium_0197,2026-01-11,Amazon Marketplace,4834.7
TXN_medium_0198,2026-01-16,Google Cloud,2003.47
TXN_medium_0199,2026-01-12,Starbucks Coffee,1580.28
